id,status,score,same_subject_score,topic,answer,matched_subject,matched_chapter,matched_section,matched_concept,same_subject_concept,cross_subject_match,missing_terms,question
PRE-01-011,IN_SCOPE,0.752,0.752,소프트웨어 개발 / 설계 원리,기능적 응집도,소프트웨어 개발,소프트웨어 설계 & 아키텍처,소프트웨어 설계 원리,응집도,응집도,,"가지므로, 무엇이라, 뭉쳐있는, 수준이다, 수행되는, 쉬워진다, 유지보수가, 응집도를, 이상적인","응집도(Cohesion)의 종류 중, 모듈 내 모든 기능 요소가 단일 목적과 연관되어 수행되는 가장 강한(이상적인) 응집도를 무엇이라 하는가?"
PRE-01-012,IN_SCOPE,0.734,0.734,소프트웨어 개발 / 설계 원리,우연적 응집도,소프트웨어 개발,소프트웨어 설계 & 아키텍처,소프트웨어 설계 원리,응집도,응집도,,"기능들이, 물리적으로, 수정하려, 수준이다, 연관성이, 유지보수가, 유형으로, 이해해야, 해당하는","다음 설명에 해당하는 응집도 유형을 적으시오.  [보기] 모듈 내 구성 요소들이 서로 아무런 관련이 없는 경우의 응집도. 가장 바람직하지 않은 유형으로, 유지보수가 가장 어렵다."
PRE-01-013,IN_SCOPE,0.665,0.665,소프트웨어 개발 / 설계 원리,자료 결합도,소프트웨어 개발,소프트웨어 설계 & 아키텍처,소프트웨어 설계 원리,결합도,결합도,,"가까울수록, 결합도다, 결합도를, 결합도에, 구성되어, 높아질수록, 독립성이, 무엇이라, 수정해도, 어려워진다, 주고받는","결합도(Coupling)의 종류 중, 모듈 간 인터페이스가 데이터 요소(매개변수)만으로 구성되어 한 모듈의 변경이 다른 모듈에 영향을 주지 않는, 가장 바람직한 결합도를 무엇이라 하는가?"
PRE-01-014,IN_SCOPE,0.711,0.711,소프트웨어 개발 / 설계 원리,내용 결합도,소프트웨어 개발,소프트웨어 설계 & 아키텍처,소프트웨어 설계 원리,결합도,결합도,,"데이터를, 수정하는, 수정해야, 유형이다, 의존하는, 해당하는",다음 설명에 해당하는 결합도 유형을 적으시오.  [보기] 한 모듈이 다른 모듈의 내부 기능 또는 내부 자료를 직접 참조하거나 수정하는 가장 강한 결합도. 반드시 피해야 하는 유형이다.
PRE-01-015,IN_SCOPE,0.403,0.403,소프트웨어 개발 / 소프트웨어 아키텍처,MVC,소프트웨어 개발,소프트웨어 설계 & 아키텍처,소프트웨어 아키텍처 스타일,소프트웨어 아키텍처 스타일 종류,소프트웨어 아키텍처 스타일 종류,,"담당하는, 데이터와, 분리한다, 소프트웨어의, 유지보수가, 유지보수성과, 인터페이스, 중재한다, 처리하는, 패턴이다, 편리하다, 해당하는","다음 설명에 해당하는 아키텍처 스타일을 적으시오.  [보기] 애플리케이션을 데이터와 비즈니스 로직을 담당하는 (Model), 화면 표현을 담당하는 (View), 사용자 입력을 처리하는 (Controller)로 분리한다. UI와 비즈니스 로직을 분리해 유지보수성과 재사용성을 높이며, 웹 프레임워크의 표준 패턴이다."
PRE-01-016,IN_SCOPE,0.689,0.689,소프트웨어 개발 / 소프트웨어 아키텍처,컴포넌트 다이어그램,소프트웨어 개발,소프트웨어 설계 & 아키텍처,소프트웨어 아키텍처 설계 표현 방법,컴포넌트 다이어그램,컴포넌트 다이어그램,,"component, diagram, 다이어그램을, 다이어그램이다, 독립적인, 보여준다, 분해하고, 설계도다, 시각적으로, 의존성과, 인터페이스, 인터페이스를, 컴포넌트가, 표현한다, 해당하는","다음 설명에 해당하는 아키텍처 표현 다이어그램을 적으시오.  [보기] 소프트웨어를 레고 블록처럼 독립적인 부품 단위로 나누고, 각 부품과 부품 간의 연결 관계(인터페이스)를 시각적으로 표현한다. 개발자들이 전체 구조를 파악하고 각자 맡은 부품을 만들 수 있도록 돕는 설계도다."
PRE-01-017,IN_SCOPE,0.361,0.361,소프트웨어 개발 / 소프트웨어 아키텍처,컨텍스트 모델,소프트웨어 개발,소프트웨어 설계 & 아키텍처,소프트웨어 아키텍처 스타일,소프트웨어 아키텍처 스타일 종류,소프트웨어 아키텍처 스타일 종류,,"공유하는, 관계만을, 단순화하고, 무엇이라, 보여주는, 시스템과의, 시스템을, 유용하며, 표시하고, 표현하는","소프트웨어 시스템의 경계와 외부 연결을 표현하는 모델로, 시스템 내부는 하나의 단위로 표시하고 외부 사용자·외부 시스템과의 입출력 관계만을 보여주는 것을 무엇이라 하는가?"
PRE-01-018,IN_SCOPE,0.628,0.628,소프트웨어 개발 / 소프트웨어 아키텍처,패키지 다이어그램,소프트웨어 개발,소프트웨어 설계 & 아키텍처,소프트웨어 아키텍처 스타일,패키지 다이어그램,패키지 다이어그램,,"diagram, package, 과목별로, 구성하고, 다이어그램을, 다이어그램이다, 무엇이라, 서랍장에, 역할별로, 정리하듯, 클래스를, 파악하게, 패키지에, 표시된다, 표시하는","관련된 클래스들을 폴더(패키지) 단위로 묶어 구성하고, 패키지 간의 의존성 및 연결 관계를 화살표로 표시하는 UML 다이어그램을 무엇이라 하는가?"
PRE-01-019,IN_SCOPE,0.592,0.592,소프트웨어 개발 / 디자인 패턴,행위 패턴,소프트웨어 개발,소프트웨어 설계 & 아키텍처,디자인 패턴,대표적인 디자인 패턴,대표적인 디자인 패턴,,"23가지, 정의한다, 패턴으로","GoF(Gang of Four)의 23가지 디자인 패턴은 목적에 따라 3가지로 분류된다. 빈칸 (ㄱ)에 들어갈 알맞은 분류를 적으시오.  [보기] 생성 패턴(Creational), 구조 패턴(Structural), (ㄱ)"
PRE-01-020,IN_SCOPE,0.461,0.461,소프트웨어 개발 / 디자인 패턴,Singleton,소프트웨어 개발,소프트웨어 설계 & 아키텍처,디자인 패턴,대표적인 디자인 패턴,대표적인 디자인 패턴,,"객체처럼, 관리자나, 데이터베이스, 사용된다, 인스턴스가, 인스턴스를, 인스턴스만, 전역적으로, 전체에서, 접근점을, 제공하는, 제한하고, 제한하는, 존재하도록, 클래스의, 패턴에는, 패턴이다, 해당하는",다음 설명에 해당하는 GoF 디자인 패턴을 적으시오.  [보기] 어떤 클래스의 인스턴스가 시스템 전체에서 단 하나만 존재하도록 제한하는 생성 패턴. 설정 관리자나 로그 객체처럼 전역적으로 하나의 인스턴스만 필요한 경우에 쓰인다.
PRE-01-021,IN_SCOPE,0.281,0.281,소프트웨어 개발 / 디자인 패턴,Adapter,소프트웨어 개발,소프트웨어 설계 & 아키텍처,디자인 패턴,대표적인 디자인 패턴,대표적인 디자인 패턴,,"110v, 220v, 변환하여, 연결하는, 연결해주는, 인터페이스가, 인터페이스로, 인터페이스를, 인터페이스에, 재사용할, 콘센트를, 클라이언트가, 클래스를, 패턴에는, 패턴이다, 플러그가, 해당하는, 호환되지",다음 설명에 해당하는 GoF 구조 패턴을 적으시오.  [보기] 기존 모듈의 인터페이스를 변환하여 클라이언트가 원하는 인터페이스로 재사용할 수 있게 해주는 패턴. 호환되지 않는 두 인터페이스를 연결하는 '번역기' 역할을 한다.
PRE-01-022,IN_SCOPE,0.656,0.656,소프트웨어 개발 / UI/UX,UX,소프트웨어 개발,UI/UX & 개발 도구,사용자 경험(User Experience) 개요,사용자 경험(UX)과 사용자 인터페이스(UI)의 차이점,사용자 경험(UX)과 사용자 인터페이스(UI)의 차이점,,"개념이다, 경험으로, 고려해야, 디자인처럼, 만족감까지, 서비스를, 위해서는, 이용하면서, 전반적인, 전체적인, 제품이나, 해당한다","다음 중 빈칸 (ㄱ)에 들어갈 알맞은 용어를 적으시오.  [보기] UI는 눈에 보이는 버튼, 색깔, 화면 디자인처럼 시각적 요소 자체를 말한다. (ㄱ)는 그 UI를 포함한 서비스 전반을 이용하면서 사용자가 느끼는 전체적인 경험과 감정을 뜻한다."
PRE-01-023,IN_SCOPE,0.404,0.404,소프트웨어 개발 / 프로그래밍 언어,인터프리터,소프트웨어 개발,UI/UX & 개발 도구,프로그래밍 언어의 개요,인터프리터 언어,인터프리터 언어,,"interpreter, javascript, python, 대표적이다, 만들므로, 방식보다, 방식이다, 실행하므로, 읽으면서, 컴파일러, 컴파일러는, 컴파일러보다, 편의성이, 해당하는","다음 설명에 해당하는 언어 번역 방식을 적으시오.  [보기] 소스 코드를 한 줄씩 읽으면서 즉시 실행하는 방식이다. 동시통역사처럼 한 줄 읽고 바로 실행하므로 코드 수정 후 결과를 즉시 확인할 수 있지만, 실행 속도는 컴파일러보다 느리다. Python, JavaScript 등이 대표적이다."
PRE-01-024,IN_SCOPE,0.389,0.389,소프트웨어 개발 / 프로그래밍 언어,Java,소프트웨어 개발,UI/UX & 개발 도구,프로그래밍 언어의 개요,Java 언어,Java 언어,,"1995년, machine, oracle, virtual, 가상머신, 객체지향, 관계없이, 독립성이, 동일하게, 마이크로시스템즈, 분야에서, 사용된다, 실행되므로, 실행된다, 안드로이드, 엔터프라이즈, 운영체제에, 작성하면","다음 설명에 해당하는 프로그래밍 언어를 적으시오.  [보기] 1995년에 등장한 객체지향 언어로, 'Write Once, Run Anywhere(한 번 작성하면 어디서나 실행)'를 지향한다. JVM(가상머신)을 통해 운영체제에 관계없이 동일하게 실행된다."
PRE-01-025,IN_SCOPE,0.325,0.325,소프트웨어 개발 / 프로그래밍 언어,JavaScript,소프트웨어 개발,UI/UX & 개발 도구,프로그래밍 언어의 개요,JavaScript 언어,JavaScript 언어,,"html, node.js, 동작하는, 무엇이라, 방식으로, 부여하는, 브라우저, 브라우저에서, 사용되며, 사이드에서도, 스크립트, 실행되어, 인터프리터, 최근에는, 클라이언트, 페이지에, 프레임워크의, 프론트엔드","웹 브라우저에서 실행되어 정적인 HTML 페이지에 동적인 기능(버튼 클릭 반응, 팝업 창 등)을 부여하는 데 주로 사용되며, 인터프리터 방식으로 동작하는 스크립트 언어를 무엇이라 하는가?"
PRE-01-026,IN_SCOPE,0.464,0.464,소프트웨어 개발 / 개발 도구,IDE(통합개발환경),소프트웨어 개발,UI/UX & 개발 도구,통합개발환경(IDE),통합개발환경(IDE) 개념,통합개발환경(IDE) 개념,,"development, eclipse, environment, idea, integrated, intellij, studio, visual, 대표적이다, 도구들을, 불편함을, 생산성을, 전환하는, 해당하는","다음 설명에 해당하는 소프트웨어 개발 도구를 적으시오.  [보기] 코드 편집기, 컴파일러, 디버거, 빌드 도구 등 개발에 필요한 도구들을 하나의 프로그램 안에 통합한 환경. Visual Studio, Eclipse, IntelliJ IDEA 등이 대표적이다."
PRE-01-027,IN_SCOPE,0.461,0.461,소프트웨어 개발 / 개발 도구,빌드,소프트웨어 개발,UI/UX & 개발 도구,통합개발환경(IDE),소프트웨어 빌드(Software Build),소프트웨어 빌드(Software Build),,"개발자가, 과정이다, 리소스를, 무엇이라, 변환하는, 수행하면, 패키징하여",소스 코드를 컴파일·링크 등의 과정을 거쳐 실제 실행 가능한 프로그램 파일로 변환하는 과정을 무엇이라 하는가?
PRE-01-028,IN_SCOPE,0.378,0.378,소프트웨어 개발 / 개발 프레임워크,프레임워크,소프트웨어 개발,UI/UX & 개발 도구,소프트웨어 개발 프레임워크,소프트웨어 개발 프레임워크 개념,소프트웨어 개발 프레임워크 개념,,"django, framework, java, python, spring, 개발자는, 구조물로, 기반으로, 대표적이다, 라이브러리와, 로직에만, 발생한다, 사용되는, 소프트웨어를, 완성한다, 전체적인, 제공한다, 해결하는","다음 설명에 해당하는 용어를 적으시오.  [보기] 소프트웨어를 개발할 때 자주 사용되는 공통 기능(로그인, 게시판 등)을 미리 구현해 놓은 '뼈대'다. 개발자는 이 뼈대를 기반으로 서비스 고유 기능만 추가해 완성한다. Spring(Java), Django(Python)가 대표적이다."
PRE-01-029,IN_SCOPE,0.337,0.337,소프트웨어 개발 / 개발 프레임워크,전자정부 표준프레임워크,소프트웨어 개발,UI/UX & 개발 도구,소프트웨어 개발 프레임워크,전자정부 표준프레임워크,전자정부 표준프레임워크,,"framework, java, nipa, spring, 공통적으로, 구축되어, 기반으로, 내장되어, 사업에서, 재사용성을, 정보통신산업진흥원, 제공하는, 표준프레임워크는, 프레임워크다, 프레임워크를, 플랫폼이다, 해당하는, 행정안전부",다음 설명에 해당하는 프레임워크를 적으시오.  [보기] 행정안전부(구 행자부)와 정보통신산업진흥원(NIPA)이 Java 기반으로 제공하는 국내 공공 정보화 사업의 표준 개발 플랫폼이다. 공통 기능을 미리 제공해 중복 개발을 줄이고 품질과 재사용성을 높인다.
PRE-01-030,IN_SCOPE,0.493,0.493,소프트웨어 개발 / 테스팅,단위 테스트,소프트웨어 개발,품질 & 요구사항,테스팅 개념 및 프로세스,테스팅 유형,테스팅 유형,,"가능하다, 개발자가, 검증한다, 모듈들을, 무엇이라, 사용자가, 수행하는, 수행하며, 테스트를, 테스팅에서, 피드백이, 확대된다","소프트웨어 테스팅에서, 개별 모듈(함수, 클래스 등) 내부의 결함을 찾기 위해 개발 조직이 개발 환경에서 수행하는 가장 작은 단위의 테스트를 무엇이라 하는가?"
PRE-01-031,IN_SCOPE,0.409,0.409,소프트웨어 개발 / 테스팅,인수 테스트,소프트웨어 개발,품질 & 요구사항,테스팅 개념 및 프로세스,테스팅 유형,테스팅 유형,,"검증하는, 고객에게, 단계이며, 무엇이라, 사용자가, 시스템이, 요구사항을, 인도된다, 충족하는지, 테스트다, 테스트를, 통과하면, 확인하는","소프트웨어 테스팅 4단계 중, 실제 사용자가 실제 사용 환경에서 '이 시스템이 내가 원하던 것과 같은가?'를 검증하는 마지막 단계를 무엇이라 하는가?"
PRE-01-032,IN_SCOPE,0.560,0.560,소프트웨어 개발 / 테스팅,화이트박스 테스팅,소프트웨어 개발,품질 & 요구사항,테스팅 개념 및 프로세스,테스팅 기법,테스팅 기법,,"검증하는, 기법으로, 기법이다, 단계에서, 방식이다, 사용된다, 설계하는, 소프트웨어의, 수행하는, 입출력만, 케이스를, 테스팅이다, 해당하는","다음 설명에 해당하는 테스팅 기법을 적으시오.  [보기] 소프트웨어의 내부 코드(소스코드, 로직, 경로)를 직접 들여다보며 수행하는 테스트 기법이다. 대표 기법으로 구조적 기법, 루프 테스트 등이 있으며 주로 단위 테스트 단계에서 사용된다."
PRE-01-033,IN_SCOPE,0.513,0.513,소프트웨어 개발 / 테스팅,블랙박스 테스팅,소프트웨어 개발,품질 & 요구사항,테스팅 개념 및 프로세스,테스팅 기법,테스팅 기법,,"관점에서, 그룹으로, 기법으로, 기법이다, 기법이며, 명세서와, 방식이다, 사용된다, 수행하는, 올바르게, 인터페이스만을, 입력값과, 작동하는지, 출력값을, 테스트를, 테스트에서, 해당하는","다음 설명에 해당하는 테스팅 기법을 적으시오.  [보기] 소프트웨어 내부 구조를 보지 않고 요구사항 명세서와 외부 인터페이스만을 기반으로 입력값과 출력값을 확인하는 기법이다. 동등 분할, 경계값 분석, 원인-결과 그래프 등이 대표 기법이며 시스템 테스트에서 주로 사용된다."
PRE-01-034,IN_SCOPE,0.319,0.319,소프트웨어 개발 / 리팩토링,리팩토링,소프트웨어 개발,품질 & 요구사항,리팩토링,리팩토링 개념,리팩토링 개념,,"fowler, martin, refactoring, 가독성과, 개선하는, 동일하지만, 목적이며, 변경하지, 사용자가, 소프트웨어의, 쉬워진다, 유지보수성을, 작업이다, 체계화했다, 해당하는, 향상되어","다음 설명에 해당하는 개발 기법을 적으시오.  [보기] 소프트웨어의 외부 기능(사용자가 보는 동작)은 변경하지 않으면서 내부 코드 구조를 개선하는 작업이다. 코드 가독성과 유지보수성을 높이는 것이 목적이며, 마틴 파울러(Martin Fowler)가 체계화했다."
PRE-01-035,IN_SCOPE,0.413,0.413,소프트웨어 개발 / 리팩토링,Extract Method,소프트웨어 개발,품질 & 요구사항,리팩토링,대표적인 리팩토링 기법,대표적인 리팩토링 기법,,"가독성이, 기법이다, 높아지고, 독립적으로, 메서드로, 분리하고, 재사용할, 줄어든다, 지어주는, 해당하는","다음 설명에 해당하는 리팩토링 기법을 적으시오.  [보기] 너무 길거나 복잡한 코드 조각을 별도의 메소드로 분리하고, 코드의 목적이 잘 드러나도록 이름을 지어주는 리팩토링 기법이다."
PRE-01-036,IN_SCOPE,0.281,0.281,소프트웨어 개발 / 리팩토링,Pull Up Field,소프트웨어 개발,품질 & 요구사항,리팩토링,대표적인 리팩토링 기법,대표적인 리팩토링 기법,,"관리하면, 기법이다, 끌어올려, 달라지는, 수정해도, 수퍼클래스, 유지한다, 이동시키는, 일관성을, 있으므로, 존재하는, 중복으로, 클래스에, 통합하여, 해당하는","다음 설명에 해당하는 리팩토링 기법을 적으시오.  [보기] 두 서브클래스가 동일한 필드(멤버 변수)를 가지고 있을 때, 그 필드를 수퍼클래스로 이동시키는 중복 제거 기법이다."
PRE-01-037,IN_SCOPE,0.442,0.442,소프트웨어 개발 / 리팩토링,코드스멜,소프트웨어 개발,품질 & 요구사항,리팩토링,코드스멜(Code Smell) 개념,코드스멜(Code Smell) 개념,,"감지되면, 겉으로는, 과도하게, 나타내는, 내포하는, 냄새처럼, 대표적인, 리팩토링을, 리팩토링해야, 무엇이라, 작동하지만, 코드스멜로는, 코드스멜이, 패턴이다, 해결해야","코드를 리팩토링해야 한다는 신호로, 겉으로는 작동하지만 중복, 과도하게 긴 메서드, 방대한 클래스 등 내부에 잠재적 문제를 내포하는 코드 패턴을 무엇이라 하는가?"
PRE-01-038,IN_SCOPE,0.570,0.570,소프트웨어 개발 / 요구사항 관리,명세,소프트웨어 개발,품질 & 요구사항,요구사항 관리,요구사항 관리 공정,요구사항 관리 공정,,"4단계는, 4단계를, analysis, change, elicitation, management, specification, 단계명을, 순서대로, 정리하는, 체계적이고, 테스트의","소프트웨어 요구사항 관리 공정의 4단계를 순서대로 나열할 때, 빈칸 (ㄱ)에 들어갈 알맞은 단계명을 적으시오.  [보기] 추출 → 분석 → (ㄱ) → 변경관리"
PRE-01-039,IN_SCOPE,0.760,0.760,소프트웨어 개발 / 요구사항 명세,VDM,소프트웨어 개발,품질 & 요구사항,요구사항 명세,요구사항 명세 기법,요구사항 명세 기법,,"가능하다, 기법으로, 기법이다, 기술하는, 기술하므로, 모호함이, 방식이다, 사용하는, 수식처럼, 엄밀하게, 제공한다, 해당하는","다음 설명에 해당하는 요구사항 명세 기법을 적으시오.  [보기] 수학적 기반의 정형 명세 기법으로, 단계적 개발과 체계적 시스템 검증 프레임워크를 제공한다. 정확한 수학 표기로 요구사항을 기술하는 방식이다."
PRE-01-040,IN_SCOPE,0.664,0.664,소프트웨어 개발 / 요구사항 명세,유스케이스(Usecase),소프트웨어 개발,품질 & 요구사항,요구사항 명세,요구사항 명세 기법,요구사항 명세 기법,,"actor, 관점에서, 기법이자, 다이어그램이다, 모델링하는, 무엇이라, 방식으로, 사용한다는, 상호작용을, 상호작용하는지, 시나리오, 시스템의, 시스템이, 유스케이스, 정의한다, 표현하는",요구사항을 그래픽 표기로 시스템의 기능과 사용자(행위자) 간의 상호작용을 모델링하는 비정형 명세 기법을 무엇이라 하는가?
PRE-01-041,IN_SCOPE,0.370,0.370,소프트웨어 개발 / 형상관리,형상관리,소프트웨어 개발,형상관리 & 오픈소스,형상관리 도구,형상관리 도구,형상관리 도구,,"configuration, management, software, 가능하다, 과정에서, 관리하는, 기록하는, 방지하고, 버전으로의, 생성되는, 중앙집중형, 체계적으로, 해당하는, 형상관리를, 활동이다","다음 설명에 해당하는 활동을 적으시오.  [보기] 소프트웨어 개발 과정에서 생성되는 코드, 문서 등의 변경 내역을 '누가, 언제, 무엇을, 왜 바꿨는지' 체계적으로 기록하고 관리하는 활동이다. 문제가 생겼을 때 원인 추적과 이전 버전으로의 복구가 가능하다."
PRE-01-042,IN_SCOPE,0.463,0.463,소프트웨어 개발 / 형상관리,통제,소프트웨어 개발,형상관리 & 오픈소스,형상관리 개념도 및 구성 요소,형상관리의 구성요소,형상관리의 구성요소,,"accounting, audit, control, identification, status, 무분별한, 방지한다, 변경으로, 순서대로, 승인하고, 활동으로",형상관리의 4가지 활동을 순서대로 나열할 때 (ㄱ)에 들어갈 알맞은 활동을 적으시오.  [보기] 식별 → (ㄱ) → 감사 → 기록
PRE-01-043,IN_SCOPE,0.352,0.352,소프트웨어 개발 / 형상관리,기준선(Baseline),소프트웨어 개발,형상관리 & 오픈소스,형상관리 개념도 및 구성 요소,형상관리의 구성요소,형상관리의 구성요소,,"가능하지만, 기준점이다, 무엇이라, 산출물의, 이후부터는, 자유롭게, 추적하고, 형상관리에서",형상관리에서 각 형상 항목들의 기술적 상태와 변화를 통제하는 시점의 기준이 되는 것을 무엇이라 하는가?
